Catégorie;Nom;Unité;Valeur Maxi;Facteur d'émission;ParPersonne;ParKmDistance;Par jour;EchelleLog;Entier;valeurMaxiEffectif;valeurMaxiDurée;Conseils;NomCourt;Picto;TitreRessource;LienRessource;NomPluriel;CategorieOptionnelle
Informations générales;Durée;jours;50;0;1;;;;1;;;Si le camp est plus long, les transports sont amortis sur plus de jours;;;;;Durée;
Informations générales;Effectif;personnes;100;0;1;;;;1;;;;;;;;Effectif;
Repas;repas avec bœuf, veau ou agneau;;50;6.29;1;;;;1;;2;La viande rouge (bœuf, veau, agneau) est très émettrice de gaz à effet de serre : presque 5 fois plus que la viande blanche et 12 fois plus qu'un repas végétarien. C'est sans doute le poste d'émission le plus facile à réduire sans affecter le projet du camp. La Marmite Éclairée vous aide à créer des menus à faible impact environnemental;Viande rouge;🥩;La Marmite Éclairée;https://lamarmite.edln.org;repas avec bœuf, veau ou agneau;
Repas;repas avec porc, volaille, poisson;;50;1.35;1;;;;1;;2;La viande blanche (porc, volaille, lapin) ou le poisson font plus que doubler l'impact carbone par rapport à un repas végétarien. La Marmite Éclairée vous aide à créer des menus à faible impact environnemental;Viande blanche;🍗;La Marmite Éclairée;https://lamarmite.edln.org;repas avec porc, volaille, poisson;
Repas;repas végétarien;;50;0.51;1;;;;1;;2;Privilégier les produits frais, locaux, de saison et peu emballés limite l'impact carbone des repas. La Marmite Éclairée vous aide à créer des menus à faible impact environnemental;Repas;🌽;La Marmite Éclairée;https://lamarmite.edln.org;repas végétariens;
Repas;repas cuisiné au gaz;;50;0.08;1;;;;1;;2;Quelques idées pour réduire votre consommation de gaz : couvrir les casseroles, protéger les tripattes du vent, adapter les quantités chauffées aux besoins et couper le gaz un peu avant la fin de la cuisson, qui va se terminer sur la chaleur accumulée;Gaz;🔥;;;repas cuisinés au gaz;
Aller-retour vers le camp;km jusqu'au camp;;9999;0;;;;1;;;;"Un camp plus proche nécessite moins de déplacements, et permet de choisir des modes de transport moins polluants. Sauf si un camp tout proche se traduit par de nombreux allers-retours en voiture. \n\nAstuce\nSi vous utilisez plusieurs moyens de transport, entrez ici celui qui est utilisé sur la plus grande distance. Le déplacement complémentaire pourra entrer dans la section suivante : ""Déplacements sur place"".";;;;;km jusqu'au camp;
Aller-retour vers le camp;AR en train ou bateau;pers.;50;0.002;;2;;;1;1;;Le train et le bateau sont de loin les modes de transport les moins polluants. Pour des trajets complets en Europe, les chemins de fer allemands fournissent d'excellentes informations horaires. Par ailleurs, Interrail est souvent avantageux pour de longs trajets en Europe.;Train;🚆;Horaires en Europe,Interrail;https://reiseauskunft.bahn.de/bin/query.exe/f,https://www.interrail.eu/fr;personnes en train ou bateau;
Aller-retour vers le camp;Car;AR;3;1.191666667;;2;;;1;;;Un car est intéressant s'il est bien rempli. Pour 10 personnes à bord, il pollue autant qu'une voiture individuelle. Attention également à prendre en compte les éventuels retours à vide;Car;🚌;;;AR de cars;
Aller-retour vers le camp;Voiture;AR;50;0.2;;2;;;1;2;;On peut réduire les trajets en louant sur place plutôt qu'au départ. Si les enfants sont déposés en voiture sur le camp, organisez le covoiturage pour réduire le nombre de trajets;Voiture;🚗;Covoiturage;https://www.covoitribu.fr;AR de voitures;
Aller-retour vers le camp;Voiture électrique;AR;50;0.1;;2;;;1;2;;La voiture électrique réduit les émissions de moitié par rapport à une voiture thermique. Ça reste beaucoup par rapport à un train ou un car bien rempli. Si les enfants sont déposés en voiture sur le camp, organisez le covoiturage pour réduire le nombre de trajets;Voiture électrique;🚙;Covoiturage;https://www.covoitribu.fr;AR de voitures électriques;
Aller-retour vers le camp;AR en avion;pers.;50;0.2;;2;;;1;1;;L'avion est doublement polluant : parce qu'il émet beaucoup de CO₂ par kilomètre, et parce qu'il rend possible des voyages lointains, avec des distances impossibles à réaliser avec un mode de transport moins polluant;Avion;✈️;;;personnes en avion;
Aller-retour vers le camp;Camion;AR;3;0.3;;2;;;1;;;Expédier le matériel et le faire livrer sur le camp est en général moins polluant que le transporter soi-même, surtout si le camion n'est pas plein;Camion;🚚;;;AR de camions;
Aller-retour vers le camp;Matériel expédié;kg;500;0.000535333;;2;;;;;;Expédier le matériel à l'avance permet d'accepter des délais plus longs : moins cher et moins polluant;Expédition;📦;;;Matériel expédié;
Déplacements sur place;km en car;;1000;1.191666667;;;;1;;;;Le car est efficace s'il est raisonnablement plein;Car;🚍;;;km en car;
Déplacements sur place;km en voiture;;2000;0.2;;;;1;;;;Faire les courses près du lieu de camp économise de l'essence, du temps et de la fatigue des conducteurs. Anticiper les besoins et faire des listes de courses claires permet de grouper les trajets et évite les allers-retours de dernière minute;Voiture;🚘;;;km en voiture;
Déplacements sur place;km en voiture électrique;;2000;0.1;;;;1;;;;Faire les courses près du lieu de camp économise de l'essence, du temps et de la fatigue des conducteurs. Anticiper les besoins et faire des listes de courses claires permet de grouper les trajets et évite les allers-retours de dernière minute;Voiture électrique;🚙;;;km en voiture électrique;
Matériel & hébergement;Achats de matériel;€;9999;0.366666667;;;;1;;;;Du matériel entretenu dure plus longtemps, donc pollue moins;Matériel;🛠;;;Achats de matériel;
Matériel & hébergement;tente utilisée;;10;8.1;;;;;1;;;Des tentes entretenues durent plus longtemps, donc polluent moins;Tentes;⛺️;;;tentes utilisées;
Matériel & hébergement;marabout utilisé;;5;30.5;;;;;1;;;Du matériel entretenu dure plus longtemps, donc pollue moins;Marabouts;🎪;;;marabouts utilisés;
Matériel & hébergement;personne logée en dur;;50;1.09;;;1;;1;1;;L'hébergement sous tente n'est pas seulement sympa, il est aussi nettement moins polluant que dans un bâtiment;Couchage en dur;🏠;;;personnes logées en dur;
Camp marin;Optimist;;10;8;;;;;1;;;L'impact d'un bateau vient surtout de sa fabrication. Un bon entretien est essentiel;Optimist;⛵️;;;Optimists;1
Camp marin;Caravelle (dériveur léger);;10;60;;;;;1;;;L'impact d'un bateau vient surtout de sa fabrication. Un bon entretien est essentiel;Caravelle;⛵️;;;Caravelles (dériveurs légers);1
Camp marin;dériveur;;10;120;;;;;1;;;L'impact d'un bateau vient surtout de sa fabrication. Un bon entretien est essentiel;Dériveur;⛵️;;;dériveurs;1
Camp marin;canot ou Kelt;;10;200;;;;;1;;;L'impact d'un bateau vient surtout de sa fabrication. Un bon entretien est essentiel;Canot;⛵️;;;canots ou Kelts;1
Camp marin;Zodiac;;10;60;;;;;1;;;L'impact d'un bateau vient surtout de sa fabrication. Un bon entretien est essentiel, notamment pour le moteur;Zodiac;🚤;;;Zodiacs;1
Camp marin;𝓁 d'essence pour les bateaux;;150;3.6;;;;;1;;;Pour limiter la consommation d’essence, évitez les grosses accélérations et coupez le moteur quand les conditions de sécurité le permettent.;Essence';⛽️;;;𝓁 d'essence pour les bateaux;1
;Crédits;;0;0;;;;;;;;;;;;;Crédits;
