Catégorie;Nom;Unité;Valeur Maxi;Facteur d'émission;ParPersonne;ParKmDistance;Par jour;EchelleLog;Entier;valeurMaxiEffectif;valeurMaxiDurée;Conseils;NomCourt;Picto;TitreRessource;LienRessource;NomPluriel;CategorieOptionnelle
CategorieInformations généralesDurée;NomInformations généralesDurée;UnitéInformations généralesDurée;21;0;1;;;;1;;;ConseilInformations généralesDurée;;;TitreRessourceInformations généralesDurée;LienRessourceInformations généralesDurée;NomPlurielInformations généralesDurée;
CategorieInformations généralesEffectif;NomInformations généralesEffectif;UnitéInformations généralesEffectif;10000;0;1;;;1;1;;;ConseilInformations généralesEffectif;;;TitreRessourceInformations généralesEffectif;LienRessourceInformations généralesEffectif;NomPlurielInformations généralesEffectif;
CategorieRepas;NomRepasrepas avec bœuf, veau ou agneau;%%;100;6.29;0.01;;2;;;;;ConseilRepasrepas avec bœuf, veau ou agneau;Red meat;🥩;TitreRessourceRepasrepas avec bœuf, veau ou agneau;LienRessourceRepasrepas avec bœuf, veau ou agneau;NomPlurielRepasrepas avec bœuf, veau ou agneau;
CategorieRepas;NomRepasrepas avec porc, volaille, poisson;%%;100;1.35;0.01;;2;;;;;ConseilRepasrepas avec porc, volaille, poisson;White meat;🍗;TitreRessourceRepasrepas avec porc, volaille, poisson;LienRessourceRepasrepas avec porc, volaille, poisson;NomPlurielRepasrepas avec porc, volaille, poisson;
CategorieRepas;NomRepasrepas végétarien;%%;100;0.51;0.01;;2;;;;;ConseilRepasrepas végétarien;Meals;🌽;TitreRessourceRepasrepas végétarien;LienRessourceRepasrepas végétarien;NomPlurielRepasrepas végétarien;
CategorieRepas;Pauses café;/ jour;4;0.11;1;;1;;1;;;;Café;☕️;;;;
CategorieAller-retour vers le campkm jusqu'au camp;Train;%%;100;2;0.02;;;;;;;ConseilAller-retour vers le campkm jusqu'au camp;Train;🚆;TitreRessourceAller-retour vers le campAR en train ou bateau;LienRessourceAller-retour vers le campAR en train ou bateau;NomPlurielAller-retour vers le campkm jusqu'au camp;
CategorieAller-retour vers le campAR en train ou bateau;Avion moyen-courrier classe économique;%%;100;580;0.02;;;;;;;ConseilAller-retour vers le campAR en train ou bateau;Avion;✈️;TitreRessourceAller-retour vers le campAR en train ou bateau;LienRessourceAller-retour vers le campAR en train ou bateau;NomPlurielAller-retour vers le campAR en train ou bateau;
CategorieAller-retour vers le campCar;Avion moyen-courrier business;%%;100;1320;0.02;;;;;;;ConseilAller-retour vers le campCar;Avion;✈️;TitreRessourceAller-retour vers le campCar;LienRessourceAller-retour vers le campCar;NomPlurielAller-retour vers le campCar;
CategorieAller-retour vers le campVoiture;Avion long-courrier classe économique;%%;100;2860;0.02;;;;;;;ConseilAller-retour vers le campVoiture;Avion;✈️;TitreRessourceAller-retour vers le campVoiture;LienRessourceAller-retour vers le campVoiture;NomPlurielAller-retour vers le campVoiture;
CategorieAller-retour vers le campVoiture électrique;Avion long-courrier business;%%;100;6630;0.02;;;;;;;ConseilAller-retour vers le campVoiture électrique;Avion;✈️;TitreRessourceAller-retour vers le campVoiture électrique;LienRessourceAller-retour vers le campVoiture électrique;NomPlurielAller-retour vers le campVoiture électrique;
Trajets locaux;Taxi domicile / gare ou aéroport;trajet / participant;2;4;1;;;;;;;;;🚕;;;;
Trajets locaux;Taxi sur place;trajet / participant;20;4;1;;;;;;4;;;🚖;;;;
CategorieMatériel & hébergementpersonne logée en dur;Centre de congrès;m2;10000;0.1125;;;1;1;;;;;Centre de congrès;🏢;;;;
CategorieMatériel & hébergementpersonne logée en dur;Auberge de jeunesse / AirBNB / Hotel économique;%%;100;7;0.01;;1;;;;;ConseilMatériel & hébergementpersonne logée en dur;Hotel eco;🛏️;TitreRessourceMatériel & hébergementpersonne logée en dur;LienRessourceMatériel & hébergementpersonne logée en dur;NomPlurielMatériel & hébergementpersonne logée en dur;
CategorieMatériel & hébergementpersonne logée en dur;Hotel catégorie moyenne;%%;100;12;0.01;;1;;;;;;Hotel **;🏠;;;;
CategorieMatériel & hébergementpersonne logée en dur;Hotel luxe;%%;100;50;0.01;;1;;;;;;Hotel *****;🏨;;;;
Materiel;goodie / participant;UnitéCamp marinOptimist;10;1;1;;;;1;;;;Goodies;🧸;;;goodies / participant;
Materiel;clé usb / participant;UnitéCamp marinCaravelle (dériveur léger);10;1;1;;;;1;;;;Clé USB;💾;;;clés USB / participant;
Materiel;Impression;page / participant;1000;0.025;1;;;1;1;;;;Impression;📖;;;pages / participant;
