Catégorie;Nom;Unité;Valeur Maxi;Facteur d'émission;ParPersonne;ParKmDistance;Par jour;EchelleLog;Entier;valeurMaxiEffectif;valeurMaxiDurée;Conseils;NomCourt;Picto;TitreRessource;LienRessource;NomPluriel;CategorieOptionnelle
CategorieInformations généralesDurée;NomInformations généralesDurée;UnitéInformations généralesDurée;50;0;1;;;;1;;;ConseilInformations généralesDurée;;;TitreRessourceInformations généralesDurée;LienRessourceInformations généralesDurée;NomPlurielInformations généralesDurée;
CategorieInformations généralesEffectif;NomInformations généralesEffectif;UnitéInformations généralesEffectif;100;0;1;;;;1;;;ConseilInformations généralesEffectif;;;TitreRessourceInformations généralesEffectif;LienRessourceInformations généralesEffectif;NomPlurielInformations généralesEffectif;
CategorieRepasrepas avec bœuf, veau ou agneau;NomRepasrepas avec bœuf, veau ou agneau;UnitéRepasrepas avec bœuf, veau ou agneau;50;6.29;1;;;;1;;2;ConseilRepasrepas avec bœuf, veau ou agneau;Red meat;🥩;TitreRessourceRepasrepas avec bœuf, veau ou agneau;LienRessourceRepasrepas avec bœuf, veau ou agneau;NomPlurielRepasrepas avec bœuf, veau ou agneau;
CategorieRepasrepas avec porc, volaille, poisson;NomRepasrepas avec porc, volaille, poisson;UnitéRepasrepas avec porc, volaille, poisson;50;1.35;1;;;;1;;2;ConseilRepasrepas avec porc, volaille, poisson;White meat;🍗;TitreRessourceRepasrepas avec porc, volaille, poisson;LienRessourceRepasrepas avec porc, volaille, poisson;NomPlurielRepasrepas avec porc, volaille, poisson;
CategorieRepasrepas végétarien;NomRepasrepas végétarien;UnitéRepasrepas végétarien;50;0.51;1;;;;1;;2;ConseilRepasrepas végétarien;Meals;🌽;TitreRessourceRepasrepas végétarien;LienRessourceRepasrepas végétarien;NomPlurielRepasrepas végétarien;
CategorieRepasrepas cuisiné au gaz;NomRepasrepas cuisiné au gaz;UnitéRepasrepas cuisiné au gaz;50;0.08;1;;;;1;;2;ConseilRepasrepas cuisiné au gaz;Gas;🔥;TitreRessourceRepasrepas cuisiné au gaz;LienRessourceRepasrepas cuisiné au gaz;NomPlurielRepasrepas cuisiné au gaz;
CategorieAller-retour vers le campkm jusqu'au camp;NomAller-retour vers le campkm jusqu'au camp;UnitéAller-retour vers le campkm jusqu'au camp;9999;0;;;;1;;;;ConseilAller-retour vers le campkm jusqu'au camp;;;TitreRessourceAller-retour vers le campkm jusqu'au camp;LienRessourceAller-retour vers le campkm jusqu'au camp;NomPlurielAller-retour vers le campkm jusqu'au camp;
CategorieAller-retour vers le campAR en train ou bateau;NomAller-retour vers le campAR en train ou bateau;UnitéAller-retour vers le campAR en train ou bateau;50;0.002;;2;;;1;1;;ConseilAller-retour vers le campAR en train ou bateau;Train;🚆;TitreRessourceAller-retour vers le campAR en train ou bateau;LienRessourceAller-retour vers le campAR en train ou bateau;NomPlurielAller-retour vers le campAR en train ou bateau;
CategorieAller-retour vers le campCar;NomAller-retour vers le campCar;UnitéAller-retour vers le campCar;3;1.191666667;;2;;;1;;;ConseilAller-retour vers le campCar;Bus;🚌;TitreRessourceAller-retour vers le campCar;LienRessourceAller-retour vers le campCar;NomPlurielAller-retour vers le campCar;
CategorieAller-retour vers le campVoiture;NomAller-retour vers le campVoiture;UnitéAller-retour vers le campVoiture;50;0.2;;2;;;1;2;;ConseilAller-retour vers le campVoiture;Car;🚗;TitreRessourceAller-retour vers le campVoiture;LienRessourceAller-retour vers le campVoiture;NomPlurielAller-retour vers le campVoiture;
CategorieAller-retour vers le campVoiture électrique;NomAller-retour vers le campVoiture électrique;UnitéAller-retour vers le campVoiture électrique;50;0.1;;2;;;1;2;;ConseilAller-retour vers le campVoiture électrique;Electric car;🚙;TitreRessourceAller-retour vers le campVoiture électrique;LienRessourceAller-retour vers le campVoiture électrique;NomPlurielAller-retour vers le campVoiture électrique;
CategorieAller-retour vers le campAR en avion;NomAller-retour vers le campAR en avion;UnitéAller-retour vers le campAR en avion;50;0.2;;2;;;1;1;;ConseilAller-retour vers le campAR en avion;Airplane;✈️;TitreRessourceAller-retour vers le campAR en avion;LienRessourceAller-retour vers le campAR en avion;NomPlurielAller-retour vers le campAR en avion;
CategorieAller-retour vers le campCamion;NomAller-retour vers le campCamion;UnitéAller-retour vers le campCamion;3;0.3;;2;;;1;;;ConseilAller-retour vers le campCamion;Van;🚚;TitreRessourceAller-retour vers le campCamion;LienRessourceAller-retour vers le campCamion;NomPlurielAller-retour vers le campCamion;
CategorieAller-retour vers le campMatériel expédié;NomAller-retour vers le campMatériel expédié;UnitéAller-retour vers le campMatériel expédié;500;0.000535333;;2;;;;;;ConseilAller-retour vers le campMatériel expédié;Shipping;📦;TitreRessourceAller-retour vers le campMatériel expédié;LienRessourceAller-retour vers le campMatériel expédié;NomPlurielAller-retour vers le campMatériel expédié;
CategorieDéplacements sur placekm en car;NomDéplacements sur placekm en car;UnitéDéplacements sur placekm en car;1000;1.191666667;;;;1;;;;ConseilDéplacements sur placekm en car;Bus;🚍;TitreRessourceDéplacements sur placekm en car;LienRessourceDéplacements sur placekm en car;NomPlurielDéplacements sur placekm en car;
CategorieDéplacements sur placekm en voiture;NomDéplacements sur placekm en voiture;UnitéDéplacements sur placekm en voiture;2000;0.2;;;;1;;;;ConseilDéplacements sur placekm en voiture;Car;🚘;TitreRessourceDéplacements sur placekm en voiture;LienRessourceDéplacements sur placekm en voiture;NomPlurielDéplacements sur placekm en voiture;
CategorieDéplacements sur placekm en voiture électrique;NomDéplacements sur placekm en voiture électrique;UnitéDéplacements sur placekm en voiture électrique;2000;0.1;;;;1;;;;ConseilDéplacements sur placekm en voiture électrique;Electric car;🚙;TitreRessourceDéplacements sur placekm en voiture électrique;LienRessourceDéplacements sur placekm en voiture électrique;NomPlurielDéplacements sur placekm en voiture électrique;
CategorieMatériel & hébergementAchats de matériel;NomMatériel & hébergementAchats de matériel;UnitéMatériel & hébergementAchats de matériel;9999;0.366666667;;;;1;;;;ConseilMatériel & hébergementAchats de matériel;Gear;🛠;TitreRessourceMatériel & hébergementAchats de matériel;LienRessourceMatériel & hébergementAchats de matériel;NomPlurielMatériel & hébergementAchats de matériel;
CategorieMatériel & hébergementtente utilisée;NomMatériel & hébergementtente utilisée;UnitéMatériel & hébergementtente utilisée;10;8.1;;;;;1;;;ConseilMatériel & hébergementtente utilisée;Tents;⛺️;TitreRessourceMatériel & hébergementtente utilisée;LienRessourceMatériel & hébergementtente utilisée;NomPlurielMatériel & hébergementtente utilisée;
CategorieMatériel & hébergementmarabout utilisé;NomMatériel & hébergementmarabout utilisé;UnitéMatériel & hébergementmarabout utilisé;5;30.5;;;;;1;;;ConseilMatériel & hébergementmarabout utilisé;Heavy tents;🎪;TitreRessourceMatériel & hébergementmarabout utilisé;LienRessourceMatériel & hébergementmarabout utilisé;NomPlurielMatériel & hébergementmarabout utilisé;
CategorieMatériel & hébergementpersonne logée en dur;NomMatériel & hébergementpersonne logée en dur;UnitéMatériel & hébergementpersonne logée en dur;50;1.09;;;1;;1;1;;ConseilMatériel & hébergementpersonne logée en dur;Buildings;🏠;TitreRessourceMatériel & hébergementpersonne logée en dur;LienRessourceMatériel & hébergementpersonne logée en dur;NomPlurielMatériel & hébergementpersonne logée en dur;
CategorieCamp marinOptimist;NomCamp marinOptimist;UnitéCamp marinOptimist;10;8;;;;;1;;;ConseilCamp marinOptimist;Optimist;⛵️;TitreRessourceCamp marinOptimist;LienRessourceCamp marinOptimist;NomPlurielCamp marinOptimist;1
CategorieCamp marinCaravelle (dériveur léger);NomCamp marinCaravelle (dériveur léger);UnitéCamp marinCaravelle (dériveur léger);10;60;;;;;1;;;ConseilCamp marinCaravelle (dériveur léger);Light dinghies;⛵️;TitreRessourceCamp marinCaravelle (dériveur léger);LienRessourceCamp marinCaravelle (dériveur léger);NomPlurielCamp marinCaravelle (dériveur léger);1
CategorieCamp marindériveur;NomCamp marindériveur;UnitéCamp marindériveur;10;120;;;;;1;;;ConseilCamp marindériveur;Dinghy;⛵️;TitreRessourceCamp marindériveur;LienRessourceCamp marindériveur;NomPlurielCamp marindériveur;1
CategorieCamp marincanot ou Kelt;NomCamp marincanot ou Kelt;UnitéCamp marincanot ou Kelt;10;200;;;;;1;;;ConseilCamp marincanot ou Kelt;Luggers;⛵️;TitreRessourceCamp marincanot ou Kelt;LienRessourceCamp marincanot ou Kelt;NomPlurielCamp marincanot ou Kelt;1
CategorieCamp marinZodiac;NomCamp marinZodiac;UnitéCamp marinZodiac;10;60;;;;;1;;;ConseilCamp marinZodiac;Zodiacs;🚤;TitreRessourceCamp marinZodiac;LienRessourceCamp marinZodiac;NomPlurielCamp marinZodiac;1
CategorieCamp marin𝓁 d'essence pour les bateaux;NomCamp marin𝓁 d'essence pour les bateaux;UnitéCamp marin𝓁 d'essence pour les bateaux;150;3.6;;;;;1;;;ConseilCamp marin𝓁 d'essence pour les bateaux;fuel';⛽️;TitreRessourceCamp marin𝓁 d'essence pour les bateaux;LienRessourceCamp marin𝓁 d'essence pour les bateaux;NomPlurielCamp marin𝓁 d'essence pour les bateaux;1
CategorieCrédits;NomCrédits;UnitéCrédits;0;0;;;;;;;;ConseilCrédits;;;TitreRessourceCrédits;LienRessourceCrédits;NomPlurielCrédits;
