Catégorie;Nom;Unité;Valeur Maxi;Facteur d'émission;ParPersonne;ParKmDistance;Par jour;EchelleLog;Entier;valeurMaxiEffectif;valeurMaxiDurée;Conseils;NomCourt;Picto;TitreRessource;LienRessource
General information;Group size;person;100;0;1;;;;1;;;;;;;
General information;Duration;days;50;0;1;;;;1;;;If the camp lasts longer, travels will be amortised over more days;;;;
Catering;With beef, veal or lamb;meals;50;6.29;1;;;;1;;2;Meals with beef, veal, or lamb meat emit much greenhouse gases: almost 5 times more than other meats, and 12 times more than a vegetarian meal. This is probably the easiest opportunity to reduce greenhouse gases without affecting the core project or the camp. La Marmite Éclairée helps you design environmentally friendly menus;Red meat;🥩;La Marmite Éclairée;https://lamarmite.edln.org
Catering;With pork, poultry, fish;meals;50;1.35;1;;;;1;;2;Including porc, poultry, rabbit, or fish in a meal doubles its carbon impact as compared to a vegetarian meal. La Marmite Éclairée helps you design environmentally friendly menus;White meat;🍗;La Marmite Éclairée;https://lamarmite.edln.org
Catering;Vegetarian;meals;50;0.51;1;;;;1;;2;To further reduce climate impact, prefer fresh, local, seasonal products and minimize packaging. La Marmite Éclairée helps you design environmentally friendly menus;Meals;🌽;La Marmite Éclairée;https://lamarmite.edln.org
Catering;Cooked with gas;meals;50;0.08;1;;;;1;;2;Ideas to reduce gas consumption: cover pans, protect burners from wind, limit the amounts of food or water to heat according to the actual needs, stop gas slightly before the end of cooking and let it finish with the accumulated heat.;Gas;🔥;;
Trip to the camp and back;Distance to camp site;km;9999;0;;;;1;;;;A nearby camp site limits the distance travelled, and allows to choose less harmful transportation means. Except if the short distance translates into many roundtrips by car;;;;
Trip to the camp and back;Train;person;50;0.002;;2;;;1;1;;Train is by far the less carbon-intensive means of transportation. For complex trips across Europe, German Railways provide excellent timetable information. Also, consider Interrail.;Train;🚆;European timetable;https://reiseauskunft.bahn.de/bin/query.exe/e
Trip to the camp and back;Bus;roundtrips;3;1.191666667;;2;;;1;;;A bus is relevant if full. With 10 person on board, it pollutes as much as a car. Also, avoid empty trips back.;Bus;🚌;;
Trip to the camp and back;Car;roundtrips;50;0.2;;2;;;1;2;;Distances travelled can be reduced by renting on site rather than in your home place. If participants are driven by their parents on the camp site, organize carpooling to reduce the number of cars.;Car;🚗;Carpooling;https://www.covoitribu.fr
Trip to the camp and back;Electric car;roundtrips;50;0.1;;2;;;1;2;;An electric car emits half greenhouse gases as compard to a regular one. This is still much more than train, boat, or a fully booked bus. If participants are driven by their parents on the camp site, organize carpooling to reduce the number of cars.;Electric car;🚙;Carpooling;https://www.covoitribu.fr
Trip to the camp and back;Boat;roundtrips;50;0.002;;2;;;1;1;;Except for the train, boat is the less carbon-intensive means of transportation;Boat;⛴️;;
Trip to the camp and back;Airplane;person;50;0.2;;2;;;1;1;;Airplane is doubly polluting: because it emits much CO₂ per kilometer, and because it allows long-haul travel that would be impossible otherwise.;Airplane;✈️;;
Trip to the camp and back;Truck / Van;roundtrips;3;0.3;;2;;;1;;;Sending gear and get it delivered on the camp site pollutes in general less than transporting it by oneself, especially in a half-empty van.;Van;🚚;;
Trip to the camp and back;Freight;kg;500;0.000535333;;2;;;;;;Shipping in advance allows to use slower transport: less expensive and less polluting.;Shipping;📦;;
On-site mobility;Car;km;1000;1.191666667;;;;1;;;;Bus is efficient if reasonnably full;Bus;🚍;;
On-site mobility;Voiture;km;2000;0.2;;;;1;;;;Shopping nearby to the camp site spares gasoline as well as drivers tiredness. Anticipating needs and writing clear shopping lists allows to group trips and avoids last-minute roundtrips.;Car;🚘;;
On-site mobility;Voiture électrique;km ;2000;0.1;;;;1;;;;Shopping nearby to the camp site spares gasoline as well as drivers' time and tiredness. Anticipating needs and writing clear shopping lists allows to group trips and avoids many last-minute roundtrips.;Electric car;🚙;;
Housing & gear;Tents;;10;8.1;;;;;1;;;Well-maintained tents last longer, and therefore pollute less.;Tents;⛺️;;
Housing & gear;Heavy tents;;5;30.5;;;;;1;;;Well-maintained gear lasts longer, and therefore pollute less.;Heavy tents;🎪;;
Housing & gear;In building;person;50;1.09;;;1;;1;1;;Sleeping in tents is not only more fun, but also pollutes less than using buildings.;Buildings;🏠;;
Housing & gear;Purchase of material;€;9999;0.366666667;;;;1;;;;Well-maintained gear lasts longer, and therefore pollute less.;Gear;🛠;;
;Credits;;0;0;;;;;;;;;;;;
